latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.07173,-118.386,Private room,2,80.0,235,4.89,0,Los Angeles
34.09782,-118.61694,Entire home/apt,2,98.0,346,4.67,1,Los Angeles
33.98111753672138,-118.37638871879048,Private room,2,85.0,78,4.71,0,Los Angeles
33.76478,-118.13349,Private room,2,113.0,365,5.0,0,Los Angeles
34.11343659747514,-118.32398830704685,Private room,3,179.0,162,4.99,0,Los Angeles
34.12769,-118.32167,Entire home/apt,4,335.0,180,4.94,1,Los Angeles
34.00985,-118.40798,Entire home/apt,3,140.0,309,4.92,1,Los Angeles
34.08271026611328,-118.3886489868164,Entire home/apt,6,375.0,100,4.94,1,Los Angeles
34.03833,-118.33662,Private room,4,98.0,301,4.81,0,Los Angeles
34.04236,-118.30637,Private room,2,45.0,305,4.9,0,Los Angeles
34.18177,-118.52621,Entire home/apt,2,129.0,162,4.92,1,Los Angeles
33.85675,-118.39704,Entire home/apt,6,220.0,364,4.88,1,Los Angeles
34.09372,-118.118,Entire home/apt,4,110.0,365,4.65,1,Los Angeles
34.11037,-118.38294,Entire home/apt,4,262.0,205,4.77,1,Los Angeles
34.11737,-118.32114,Entire home/apt,3,110.0,288,4.96,1,Los Angeles
34.106237427326384,-118.26252949906416,Entire home/apt,5,302.0,9,4.92,1,Los Angeles
34.10854,-118.3145,Entire home/apt,6,383.0,87,4.5,1,Los Angeles
34.09749,-118.61543,Entire home/apt,2,98.0,331,4.5,1,Los Angeles
34.09513,-118.35534,Entire home/apt,2,180.0,241,4.73,1,Los Angeles
33.8465,-118.08244,Private room,2,65.0,353,4.85,0,Los Angeles
34.10336,-118.32366,Entire home/apt,6,142.0,365,4.59,1,Los Angeles
33.90045,-118.40868,Entire home/apt,1,275.0,267,4.89,1,Los Angeles
34.15898,-118.4593,Entire home/apt,2,88.0,109,4.94,1,Los Angeles
33.76459,-118.13367,Private room,2,113.0,334,4.43,0,Los Angeles
33.988040924072266,-118.4671401977539,Entire home/apt,6,335.0,151,4.96,1,Los Angeles
33.98522,-118.35942,Entire home/apt,3,112.0,329,4.83,1,Los Angeles
34.08285903930664,-118.27875518798828,Entire home/apt,1,106.0,361,4.81,1,Los Angeles
34.05798,-118.35541,Entire home/apt,1,113.0,288,4.95,1,Los Angeles
