city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates,avg_rent_2024,avg_rent_2025,rent_growth
Los Angeles,91352,46,132.08695652173913,0.6956521739130435,4.779090909090909,3.8260869565217392,2799.9991034955383,2939.7330720034133,0.049905004731405155
Los Angeles,91354,45,233.88888888888889,0.5555555555555556,4.716969696969697,3.6222222222222222,3370.668021328121,3426.3846390867748,0.016529844353138062
Los Angeles,91355,47,213.29787234042553,0.8085106382978723,4.87875,4.595744680851064,2806.390257155965,2871.540689179795,0.023215029291704565
Los Angeles,91356,141,487.93617021276594,0.851063829787234,4.8301234567901234,6.468085106382978,2702.1317084082293,2903.4475740731905,0.07450261030523647
Los Angeles,91361,8,376.375,0.75,4.958571428571429,5.375,3226.317632823964,3419.3304816838086,0.059824502986366705
Los Angeles,91362,3,405.0,1.0,5.0,6.0,3133.399005139054,3285.895695560266,0.04866813647770481
Los Angeles,91364,215,334.15813953488373,0.7767441860465116,4.823513513513514,4.72093023255814,3160.0893284247627,3415.366238012462,0.08078154857570098
Los Angeles,91367,255,282.26666666666665,0.8823529411764706,4.850294117647058,5.349019607843137,2870.549005455449,2955.2028066920375,0.029490456729951285
Los Angeles,91381,31,361.4193548387097,0.6774193548387096,4.64,6.225806451612903,2870.479175013141,2942.5679534048318,0.0251138482449924
Los Angeles,91384,28,231.5,0.6071428571428571,4.8536363636363635,5.607142857142857,,,
Los Angeles,91387,72,214.09722222222223,0.7083333333333334,4.759285714285714,4.833333333333333,2582.4366927948117,2629.547861660052,0.018242913368093028
Los Angeles,91401,168,308.4702380952381,0.8928571428571429,4.853739130434782,5.940476190476191,2221.843962634135,2295.80817026221,0.03328955987547638
Los Angeles,91402,47,126.2127659574468,0.6808510638297872,4.785217391304348,4.170212765957447,2236.514362933927,2272.737390242854,0.01619619704181497
Los Angeles,91403,151,412.58940397350995,0.847682119205298,4.8531249999999995,5.5364238410596025,2706.826588690592,2817.571913153306,0.04091334292540931
Los Angeles,91405,58,120.94827586206897,0.5689655172413793,4.822,3.0517241379310347,2330.779649146462,2348.9790171704294,0.007808274810805118
Los Angeles,91406,144,173.26388888888889,0.8194444444444444,4.809130434782609,4.5,2128.497506693398,2171.5333141985825,0.020218866768625086
Los Angeles,91411,80,171.3625,0.8875,4.8621875,3.7875,2542.3817549100113,2607.131757280406,0.0254682453747732
Los Angeles,91423,166,328.9698795180723,0.8313253012048193,4.86042735042735,5.403614457831325,2642.3845386429134,2740.32949358001,0.03706688163843084
Los Angeles,91436,71,596.2676056338029,0.704225352112676,4.877435897435897,6.098591549295775,4785.596618190659,5282.513444643441,0.10383591976054538
Los Angeles,91501,54,487.3333333333333,0.8148148148148148,4.832619047619048,3.5185185185185186,2734.4711213051246,2809.3331452239713,0.027377149217475052
Los Angeles,91502,24,195.0,0.75,4.911764705882353,3.375,2229.150914162001,2311.278695841626,0.036842629701676864
